loss,iteration,number_of_layers,layer1_filters,layer2_filters,layer3_filters,layer4_filters,layer5_filters,layer6_filters,layer1_kernel,layer2_kernel,layer3_kernel,layer4_kernel,layer5_kernel,layer6_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
0.11490330000000004,1,6,64,18,136,21,43,142,9,10,9,9,12,10,0.8850967,0.7958192,0.8105433,0.7820168,0.844574,3088.508031141013
0.10948336000000003,2,6,61,87,193,250,174,127,7,3,9,11,5,11,0.89051664,0.7994314,0.83436084,0.76668847,0.82542604,3128.5332128300215
0.13023209999999996,3,4,77,18,201,260,0,0,2,11,3,8,0,0,0.8697679,0.7813822,0.80567867,0.7586067,0.8976008,3066.668366183003
0.10661849999999995,4,6,57,82,37,207,94,380,6,7,11,6,6,2,0.8933815,0.80232114,0.8494846,0.75811005,0.8151902,3099.047361039964
0.11228603000000004,5,4,117,74,36,161,0,0,9,12,6,8,0,0,0.88771397,0.7982545,0.8120605,0.7853128,0.8352204,3744.4960026580375
0.1078384,6,5,78,135,240,104,266,0,3,6,5,6,4,0,0.8921616,0.79698443,0.87262785,0.72607625,0.8280024,3229.7456566340406
0.1140833,7,4,91,18,111,238,0,0,7,5,9,10,0,0,0.8859167,0.79738057,0.78162026,0.8121543,0.84654963,3124.2008670859504
0.11082804000000002,8,6,53,90,63,115,68,175,8,6,5,11,2,4,0.88917196,0.79966444,0.8405019,0.7613834,0.8298399,3124.3558772749966
0.11349640000000005,9,4,86,163,224,104,0,0,9,11,2,10,0,0,0.8865036,0.79770684,0.8200077,0.77680206,0.8403842,4206.824206449033
0.11171955,10,6,39,40,186,232,34,222,7,10,4,10,8,8,0.88828045,0.79824287,0.8000915,0.7965099,0.8378452,3090.6677410940174
0.11429732999999997,11,4,84,81,95,26,0,0,10,7,9,3,0,0,0.88570267,0.79593575,0.77345634,0.8170079,0.84698033,3089.2617589280126
0.10735523999999996,12,6,116,48,60,208,237,49,7,7,9,12,11,2,0.89264476,0.8021463,0.7822705,0.82077795,0.8308882,3075.59839805105
0.10819124999999996,13,6,71,168,110,242,305,218,8,12,5,5,11,9,0.89180875,0.8017734,0.83657646,0.7691491,0.820159,4563.623270126001
0.11056469999999996,14,5,61,41,235,236,199,0,3,10,9,4,5,0,0.8894353,0.7960406,0.85649264,0.73937285,0.8314062,3107.146973534953
0.11413103000000002,15,4,51,156,48,259,0,0,12,11,2,9,0,0,0.88586897,0.796495,0.81307197,0.7809558,0.8415698,3296.2876199440216
0.12310695999999999,16,5,68,115,72,26,101,0,2,4,3,2,12,0,0.87689304,0.78572845,0.73800695,0.8304626,0.8857092,3111.092524787993
0.11084380000000005,17,6,117,89,152,266,332,230,2,5,2,12,4,2,0.8891562,0.79852253,0.8423321,0.75745535,0.8300357,3122.770083319978
0.1136452,18,4,82,16,195,265,0,0,7,5,11,6,0,0,0.8863548,0.79780006,0.79756284,0.79802245,0.8438872,3084.537754154997
0.11082890000000001,19,4,32,128,140,166,0,0,7,10,6,5,0,0,0.8891711,0.7994663,0.80365574,0.7955392,0.8308611,3085.5656092849676
0.10938250000000005,20,5,41,103,117,258,123,0,4,11,8,11,11,0,0.8906175,0.801855,0.8018736,0.8018376,0.82609934,3399.855212268012
0.1091763,21,5,101,48,168,179,349,0,7,6,7,8,10,0,0.8908237,0.80078304,0.8195983,0.7831456,0.8230675,3173.1630434049875
0.11123145000000001,22,5,23,42,174,51,266,0,8,6,9,8,7,0,0.88876855,0.79960614,0.82913494,0.77192587,0.830506,3106.503369461978
0.11423653,23,6,49,51,42,45,232,253,7,5,6,4,5,4,0.88576347,0.7956328,0.8176958,0.7749509,0.8426398,3125.9595027909963
0.11230969999999996,24,5,27,166,155,77,106,0,10,10,9,7,3,0,0.8876903,0.7986274,0.81490225,0.7833713,0.8353386,3596.2551576549886
0.10675069999999998,25,6,48,145,221,92,100,221,9,9,8,11,3,2,0.8932493,0.80229783,0.83751565,0.7692846,0.8134445,3983.475769478013
0.11697650000000004,26,5,18,118,126,227,110,0,12,6,3,3,8,0,0.8830235,0.7827688,0.88462096,0.6872926,0.88229156,3117.4235924530076
0.11187714000000004,27,4,44,171,66,211,0,0,2,8,8,3,0,0,0.88812286,0.7934888,0.8690396,0.72266746,0.8452031,3055.866861187038
0.11148279999999999,28,4,56,147,45,228,0,0,11,6,10,3,0,0,0.8885172,0.7994547,0.7979482,0.8008669,0.8357256,3083.925024113967
0.11210759999999997,29,5,88,149,64,83,149,0,3,6,6,11,7,0,0.8878924,0.7983827,0.83320487,0.76574033,0.8334712,3095.561833415006
0.10861045000000003,30,4,97,174,45,287,0,0,5,5,8,6,0,0,0.89138955,0.8030086,0.80086213,0.80502063,0.8257723,3121.368567901023
0.1135836,31,6,85,26,37,68,224,330,7,5,4,9,7,8,0.8864164,0.79824287,0.788267,0.8075942,0.84322757,3121.73805944802
0.10743004,32,6,37,174,244,65,34,154,10,4,11,6,7,12,0.89256996,0.802123,0.8436326,0.76321197,0.8163705,3568.6702371190186
0.10864669999999998,33,4,81,92,157,219,0,0,4,10,4,11,0,0,0.8913533,0.8022279,0.8371785,0.7694652,0.8229321,3354.598111615982
0.11427264999999998,34,6,76,58,62,49,201,52,11,8,7,2,11,10,0.88572735,0.79317415,0.7578027,0.8263314,0.8541224,3099.9644683600054
0.11347130000000005,35,6,69,93,74,277,84,329,6,4,11,3,2,7,0.8865287,0.7965766,0.8313987,0.7639344,0.83762133,3095.143083565985
0.10983549999999997,36,5,32,52,247,179,152,0,3,6,9,10,11,0,0.8901645,0.80079466,0.7955881,0.8056753,0.8286321,3065.7976601360133
0.11243194000000001,37,4,102,103,98,64,0,0,5,9,4,11,0,0,0.88756806,0.7983827,0.7913496,0.8049755,0.8370579,3560.618355797953
0.114869,38,5,58,44,87,158,196,0,7,5,3,3,9,0,0.885131,0.79662323,0.7998266,0.79362035,0.84438086,3139.784844994021
0.11425989999999997,39,5,48,101,234,49,68,0,7,11,4,6,3,0,0.8857401,0.79513174,0.77242076,0.816421,0.8493103,3019.9020921310293
0.11356752999999997,40,6,69,64,34,198,277,249,4,11,9,2,7,7,0.88643247,0.79583085,0.8323861,0.761564,0.8404451,3033.25162522099
0.11378752999999997,41,5,86,106,47,247,25,0,10,12,5,6,10,0,0.88621247,0.79390824,0.76201713,0.82380295,0.85202765,3542.4796516270144
0.10846880000000003,42,5,87,178,127,175,338,0,5,8,3,10,6,0,0.8915312,0.7942578,0.8772276,0.7164819,0.84109807,3316.1938656489947
0.11418616999999998,43,4,60,151,196,26,0,0,11,5,8,2,0,0,0.88581383,0.79629695,0.8433436,0.7521954,0.85017073,3199.1987496180227
0.1104368,44,6,59,90,114,163,262,309,5,4,4,11,11,12,0.8895632,0.79802144,0.8486899,0.7505249,0.82910264,3126.3384686060017
0.11516689999999996,45,5,55,21,32,259,161,0,8,3,4,11,11,0,0.8848331,0.7947239,0.8228254,0.7683816,0.8433232,3114.2375549150165
0.10740243999999999,46,6,105,164,177,54,309,192,9,10,6,9,6,5,0.89259756,0.8001771,0.7690733,0.82933384,0.8283704,5480.467450801982
0.10821055999999996,47,5,83,136,191,119,246,0,3,6,10,6,10,0,0.89178944,0.8010161,0.77711684,0.8234192,0.8339932,3995.9169696530444
