iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,layer4_filters,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
32,0.11164427,35,8,58,3,166,10,120,10,0.88835573,0.7976952,0.83467394,0.76303136,0.83436686,5473.153751797043
33,0.11623950000000005,29,8,96,5,93,3,197,9,0.8837605,0.7960872,0.8028369,0.78976005,0.8500018,5505.227818012238
34,0.1080453,44,10,120,6,194,10,133,10,0.8919547,0.8024609,0.79250556,0.81179315,0.8254794,5820.490232223178
35,0.10999124999999997,49,10,80,4,129,10,68,10,0.89000875,0.8005616,0.83999616,0.7635957,0.82909983,5533.920887750108
36,0.11264527000000002,24,10,120,6,148,9,115,8,0.88735473,0.7986623,0.8097727,0.7882475,0.8362283,5864.80041546002
37,0.10945249999999997,37,9,105,5,105,10,132,7,0.8905475,0.8009229,0.8279549,0.77558297,0.8240563,5551.882768285926
38,0.1168167,52,7,16,3,188,9,64,8,0.8831833,0.79400146,0.83014643,0.7601192,0.852038,5481.841836552137
39,0.10889214000000004,40,10,82,4,157,10,202,10,0.89110786,0.7940947,0.87737215,0.7160304,0.83830863,5509.179102987982
40,0.11253243999999996,23,8,94,2,211,9,160,8,0.88746756,0.79430443,0.8603699,0.73237467,0.84830374,5505.5794542138465
41,0.1115625,45,9,121,5,139,8,271,2,0.8884375,0.79710096,0.8295203,0.76671106,0.8363538,5568.287284767721
42,0.1109662,48,8,84,6,200,10,56,3,0.8890338,0.7979516,0.84478855,0.75404656,0.8325537,5623.232909204904
43,0.11185365999999997,34,10,75,8,110,8,241,8,0.88814634,0.79598236,0.85810614,0.7377475,0.84219587,5591.2514717457825
44,0.10997239999999996,29,7,61,3,171,9,195,9,0.8900276,0.798674,0.76514786,0.8301014,0.83541244,5523.92661942204
45,0.1097747,16,8,127,4,156,10,287,10,0.8902253,0.8006432,0.82761776,0.77535725,0.82720953,5542.208371925051
46,0.11096793000000003,39,10,100,7,223,7,145,7,0.88903207,0.8003053,0.82034487,0.7815202,0.8311509,5539.206117191004
47,0.11113816,52,9,111,6,59,9,86,8,0.88886184,0.7993731,0.81682885,0.7830101,0.83075076,5516.929651675979
48,0.11182000000000004,42,9,78,5,148,6,307,6,0.88818,0.7968329,0.8503757,0.746642,0.83756983,5525.575650076033
49,0.10922869999999996,38,7,117,7,182,8,242,9,0.8907713,0.80075973,0.7879299,0.8127864,0.8297259,5543.810485495022
50,0.12003434000000003,58,6,70,2,94,4,40,10,0.87996566,0.79125154,0.76541275,0.81547284,0.8677425,5500.561705050001
