loss,iteration,layer1_filters,layer2_filters,layer3_filters,layer4_filters,layer1_kernel,layer2_kernel,layer3_kernel,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
0.13011799999999996,1,33,33,76,25,2,6,3,6,0.869882,0.7814514,0.8551649,0.7093098,0.9169382,3196.6062596649863
0.11028503999999995,2,52,106,137,497,3,7,8,4,0.88971496,0.80183893,0.83886784,0.76559967,0.8284028,3320.1969315621536
0.1185503,3,57,62,223,212,8,5,4,3,0.8814497,0.78506637,0.71518713,0.85345536,0.88142675,3214.140761193121
0.10947066999999999,4,42,40,148,246,5,5,10,9,0.89052933,0.79981816,0.867853,0.7332341,0.8331958,3203.9454800612293
0.1175271,5,34,88,34,319,3,4,7,6,0.8824729,0.7943957,0.7762444,0.81215984,0.85717535,3193.2982187890448
0.12925540000000002,6,56,81,51,318,3,5,3,2,0.8707446,0.7806655,0.7443539,0.81620276,0.9026475,3212.950442718109
0.1181548,7,38,18,176,497,2,8,4,8,0.8818452,0.79300356,0.7840525,0.8017638,0.8576346,3188.304680956062
0.1175444,8,46,86,96,29,7,3,8,7,0.8824556,0.79511416,0.8224119,0.7683986,0.8556078,3202.72817745083
0.1106142,9,56,91,196,375,5,8,5,6,0.8893858,0.8014572,0.8225254,0.7808384,0.8291525,3148.885355595965
0.11439500000000002,10,24,71,223,77,10,9,5,7,0.885605,0.7961246,0.78033,0.81158227,0.8485835,3163.4532692790963
0.11315989999999998,11,49,72,117,324,6,7,5,4,0.8868401,0.7992456,0.8041855,0.794411,0.83949244,3192.681842616992
0.11635894000000002,12,44,107,98,98,2,3,7,6,0.88364106,0.7977973,0.8175318,0.7784837,0.86142725,3177.4368131009396
0.11093980000000003,13,40,83,162,137,6,2,9,8,0.8890602,0.8010194,0.8355085,0.7672657,0.8300613,3182.26325590699
0.11942934999999999,14,45,94,51,419,4,7,2,4,0.88057065,0.79235244,0.838028,0.74765086,0.86787206,3205.7150779888034
0.11569110000000005,15,63,75,29,92,6,3,9,7,0.8843089,0.7954622,0.8402751,0.751605,0.8513859,3187.176401834935
0.12400109999999998,16,25,69,71,45,5,6,6,3,0.8759989,0.78760356,0.8481966,0.72830266,0.90000653,3179.6910089012235
0.12773323000000003,17,19,26,41,380,10,4,3,9,0.87226677,0.78413457,0.84601766,0.7235711,0.89711255,3195.134502544999
0.11352015000000004,18,61,109,92,111,5,9,5,5,0.88647985,0.7989761,0.79612774,0.8017638,0.8415432,3087.9627425768413
