loss,iteration,layer1_filters,layer2_filters,layer3_filters,layer4_filters,layer1_kernel,layer2_kernel,layer3_kernel,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
0.11706512999999996,1,25,56,185,488,5,10,4,3,0.88293487,0.7941038,0.84735686,0.74198633,0.85896933,3185.3665321790613
0.11297184000000005,2,59,49,163,53,5,5,7,7,0.88702816,0.80131125,0.80672765,0.7960104,0.8399098,3210.499498982914
0.11181859999999999,3,27,119,129,472,3,6,4,10,0.8881814,0.79918945,0.79138386,0.80682856,0.835259,3181.7367968889885
0.10982334999999999,4,64,115,88,346,7,8,6,7,0.89017665,0.80134493,0.79138386,0.81109357,0.83098567,3161.9624655919615
0.11339164000000002,5,31,45,100,135,9,10,10,7,0.88660836,0.7983587,0.8214813,0.7757292,0.836984,3169.808676142944
0.11995864,6,59,112,107,465,4,3,4,5,0.88004136,0.7851562,0.725038,0.8439923,0.8873808,3215.0334703479894
0.11682879999999995,7,37,110,85,66,7,5,5,4,0.8831712,0.7941375,0.7731802,0.8146478,0.8568746,3227.6581617691554
0.11980884999999997,8,34,58,195,446,8,9,2,2,0.88019115,0.79220647,0.8295163,0.7556923,0.8665816,3188.361106142169
0.11812513999999996,9,41,68,212,133,4,6,2,7,0.88187486,0.79458654,0.7866854,0.8023191,0.8578557,3205.498912949115
0.13811359999999995,10,19,20,46,96,6,4,5,2,0.8618864,0.77229047,0.73112106,0.8125819,0.9320839,3196.3592835480813
0.11912699999999998,11,55,118,206,199,3,6,3,2,0.880873,0.7908256,0.75867623,0.82228935,0.8675572,3196.7848490658216
0.11519020000000002,12,25,110,144,384,9,9,10,7,0.8848098,0.796641,0.8485825,0.7458071,0.8495159,3190.212738177972
0.11562410000000001,13,20,56,168,466,2,8,9,3,0.8843759,0.7954285,0.8400935,0.751716,0.84947294,3182.430940071121
0.1195058,14,33,110,217,53,9,3,6,2,0.8804942,0.79312706,0.8415462,0.7457405,0.8732129,3168.5023351449054
0.11759240000000004,15,20,74,190,450,6,10,4,2,0.8824076,0.7943732,0.78328073,0.8052291,0.8589584,3175.7340427949093
0.11349609999999999,16,28,92,93,416,5,10,8,3,0.8865039,0.79761773,0.84150076,0.75467044,0.8403871,3151.970200707903
0.11178094000000005,17,47,60,217,279,2,8,8,4,0.88821906,0.79906595,0.79179245,0.80618435,0.83726907,3163.57805925305
0.11306689999999997,18,21,79,255,64,8,10,5,9,0.8869331,0.7962481,0.7709104,0.8210454,0.8468241,3166.117964888923
0.11608105999999996,19,50,39,141,461,7,2,9,10,0.88391894,0.79245347,0.86211044,0.72428197,0.8558314,3188.3652428968344
0.12573594,20,25,84,27,504,5,2,2,8,0.87426406,0.7851674,0.75965226,0.8101384,0.88900757,3200.1111486868467
0.12153285999999996,21,16,24,35,174,5,10,7,10,0.87846714,0.7906572,0.8074767,0.7741964,0.86705405,3179.496585974004
0.1195735,22,56,18,40,76,9,9,8,5,0.8804265,0.7925096,0.8103593,0.77504057,0.8597061,3187.065508019179
0.11653227,23,19,22,222,126,6,7,7,7,0.88346773,0.7948223,0.84903646,0.74176425,0.85434145,3201.2029139779042
0.12389139999999998,24,32,21,51,322,3,4,7,3,0.8761086,0.7892651,0.77819645,0.80009776,0.878562,3195.311929462943
0.11792100000000005,25,28,20,88,437,7,5,7,7,0.882079,0.79363227,0.80159795,0.78583646,0.8536769,3195.2892057790887
0.1226296,26,18,89,26,99,3,3,10,2,0.8773704,0.7930822,0.8011213,0.7852145,0.8768076,3203.552227476146
0.1301519,27,23,18,41,270,5,5,3,5,0.8698481,0.7745021,0.71337134,0.83432925,0.9099793,3213.2015811279416
0.11801439999999996,28,18,128,17,369,9,10,6,9,0.8819856,0.7936435,0.8042763,0.78323746,0.85472345,3178.940938364016
0.12996569999999996,29,16,19,39,454,2,3,5,5,0.8700343,0.7821474,0.7744967,0.789635,0.8953646,3209.180374825839
0.12173840000000002,30,64,17,95,212,2,9,8,3,0.8782616,0.7889844,0.78421134,0.79365575,0.8684808,3187.8042092209216
0.10922540000000003,31,64,119,161,300,2,8,7,7,0.8907746,0.7988863,0.7680732,0.8290424,0.8362433,3287.608697846066
0.10893637,32,61,121,183,331,4,8,10,7,0.89106363,0.8000988,0.7804889,0.8192905,0.8307474,3415.5632013480645
0.10847013999999999,33,64,127,134,108,6,9,7,10,0.89152986,0.79772997,0.7529337,0.841571,0.8416542,3584.2768677067943
0.10975003000000005,34,63,123,235,386,3,9,5,8,0.89024997,0.80160314,0.83982116,0.7642002,0.82725984,3753.6588341579773
0.11519219999999997,35,61,122,37,122,6,5,5,7,0.8848078,0.7972809,0.8283814,0.7668436,0.84642684,3227.267858881969
0.11144644000000004,36,19,128,219,24,8,10,10,7,0.88855356,0.8005928,0.83344305,0.76844305,0.83069706,3193.613210401032
0.16119689999999998,37,63,19,29,410,3,2,2,2,0.8388031,0.7547432,0.7426289,0.7665993,1.0054358,3218.2841694529634
0.11343420000000004,38,58,126,182,82,3,2,10,4,0.8865658,0.7990996,0.8299022,0.768954,0.8412503,3182.9930581930093
0.13104594000000003,39,44,19,32,163,4,6,5,2,0.86895406,0.77628714,0.71625394,0.8350401,0.915056,3218.3784804660827
0.11557019999999996,40,57,127,240,70,2,10,2,10,0.8844298,0.7974044,0.81812197,0.77712864,0.845036,3256.5103874769993
0.12333400000000005,41,62,19,163,291,7,2,4,3,0.876666,0.7896468,0.79785275,0.78161585,0.876651,3221.0717429830693
0.12799590000000005,42,19,20,29,453,6,3,9,2,0.8720041,0.7835732,0.7537508,0.81275964,0.8964343,3201.0836504041217
0.11685866,43,60,115,251,466,6,2,6,2,0.88314134,0.79523766,0.8306966,0.7605349,0.8588212,3162.605543541955
0.12353999999999998,44,61,19,177,263,2,3,2,10,0.87646,0.78826594,0.7764941,0.79978675,0.8779109,3215.1683776788414
0.13722420000000002,45,37,20,16,39,3,4,5,5,0.8627758,0.77325594,0.7265361,0.8189795,0.92861944,3205.4324354401324
0.11133510000000002,46,63,119,104,349,7,9,7,2,0.8886649,0.79960483,0.7896134,0.8093831,0.83622724,3379.0048891950864
0.14095539999999995,47,63,16,22,323,3,2,6,2,0.8590446,0.77282935,0.8134008,0.73312306,0.94657874,3227.5898167879786
0.14598614,48,64,116,16,221,3,3,2,2,0.85401386,0.77033705,0.8108814,0.7306573,0.958628,3225.3767961359117
0.13735162999999995,49,48,121,17,28,3,6,2,3,0.86264837,0.7743898,0.8483102,0.7020459,0.94518703,3215.58302069013
0.11234604999999998,50,51,121,16,256,9,9,9,7,0.88765395,0.8001886,0.8235922,0.77728415,0.8373276,3130.8083707708865
0.13749062999999995,51,41,17,27,123,3,9,2,2,0.86250937,0.7755125,0.7581769,0.7924784,0.9271927,3174.508294524858
0.11143373999999995,52,63,128,224,237,4,10,2,10,0.88856626,0.79931295,0.85246384,0.74729544,0.83514535,3542.9496691972017
0.11537050000000004,53,64,77,17,239,4,10,8,6,0.8846295,0.7959337,0.847493,0.7454739,0.84994936,3148.3862074990757
0.11373390000000005,54,63,77,27,459,3,10,7,10,0.8862661,0.79856074,0.8362803,0.7616456,0.84055567,3120.3277688610833
0.11603695000000003,55,63,119,24,203,4,9,6,2,0.88396305,0.79526013,0.7848923,0.80540687,0.8515633,3131.0998068419285
0.12607749999999995,56,63,16,28,425,3,4,9,2,0.8739225,0.77984595,0.7116009,0.8466357,0.90247643,3213.066673287889
0.10964390000000002,57,64,124,176,237,7,3,7,9,0.8903561,0.801794,0.8451778,0.75933534,0.8278585,3140.9531114960555
0.12457929999999995,58,58,124,19,334,3,2,9,2,0.8754207,0.79181355,0.79760313,0.7861475,0.88419807,3228.399656972848
0.1434103,59,53,126,23,217,3,2,2,3,0.8565897,0.7713025,0.82629323,0.71748453,0.96014667,3225.7900516409427
0.11067395999999996,60,64,127,221,357,3,2,10,10,0.88932604,0.80011004,0.7840071,0.81586957,0.83396983,3444.744297316065
0.12493449999999995,61,28,93,21,21,3,5,5,8,0.8750655,0.78640234,0.75477225,0.8173579,0.8888398,3224.7999038849957
0.11652260000000003,62,47,126,21,203,9,10,3,4,0.8834774,0.79523766,0.7892503,0.80109733,0.85257274,3119.8281810579356
0.12113755999999998,63,39,121,17,262,2,4,4,9,0.87886244,0.7902306,0.7672561,0.8127152,0.8704228,3215.567112145014
0.11995199999999995,64,60,103,17,31,4,10,2,10,0.880048,0.79380065,0.82831335,0.760024,0.8630806,3136.7773712249473
0.13544009999999995,65,35,58,28,159,5,2,2,5,0.8645599,0.7762422,0.7409265,0.8108048,0.9263471,3210.974974092096
0.11476540000000002,66,19,122,180,511,4,2,7,7,0.8852346,0.7945304,0.76798236,0.82051224,0.8565893,3131.7589632088784
0.12160490000000002,67,63,125,226,17,5,2,7,2,0.8783951,0.79102767,0.78675354,0.7952107,0.87481385,3165.224862284027
0.12085480000000004,68,61,119,28,405,2,10,2,5,0.8791452,0.7905225,0.798738,0.78248215,0.8658732,3103.8834129159804
0.11279799999999995,69,64,126,189,359,3,8,5,10,0.887202,0.7939915,0.7549538,0.8321967,0.8536241,3155.2447592569515
0.1512808,70,17,18,22,77,6,6,2,2,0.8487192,0.763848,0.7563157,0.7712198,0.9737015,3207.4039858789183
0.13477099999999997,71,28,18,241,393,9,4,2,2,0.865229,0.7782069,0.7784007,0.7780172,0.9139694,3217.8144444930367
0.12981653000000004,72,29,122,210,484,10,3,2,2,0.87018347,0.7830343,0.801371,0.76508874,0.9028773,3249.291268992005
0.11154085000000002,73,64,126,222,466,8,9,2,5,0.88845915,0.80122143,0.82499945,0.7779505,0.83239967,3375.433465371141
0.11485959999999995,74,46,127,256,309,7,10,2,4,0.8851404,0.79058987,0.73636425,0.84365904,0.8668989,3339.872634554049
0.15527979999999997,75,22,40,19,255,3,4,2,2,0.8447202,0.7581561,0.7152779,0.80011994,0.9881911,3220.362702073995
0.17034340000000003,76,29,54,19,56,5,2,2,2,0.8296566,0.7464468,0.7619675,0.7312571,1.0332477,3246.97540889401
0.13236815000000002,77,19,39,22,92,5,10,2,2,0.86763185,0.7824281,0.7859591,0.7789724,0.9081641,3180.1418663491495
0.12445455999999999,78,29,55,251,32,10,3,5,2,0.87554544,0.78826594,0.7759947,0.80027544,0.8811564,3222.0886196920183
0.11444690000000002,79,64,52,254,373,10,9,7,2,0.8855531,0.7945304,0.86292756,0.7275918,0.85133606,3114.59439986106
0.13666880000000003,80,48,18,126,427,7,2,3,2,0.8633312,0.7687204,0.6879043,0.84781307,0.94401234,3219.204297353048
0.11568104999999995,81,64,128,92,65,5,4,3,10,0.88431895,0.79591125,0.7840071,0.8075616,0.8506624,3212.332222306868
